sample_id,asv_id,health,n_reads,rclr
2016_S_SB_D_250,ASV641,D,0,0
2016_S_SB_D_250,ASV645,D,0,0
2016_S_SB_D_250,ASV646,D,0,0
2016_S_SB_D_250,ASV648,D,0,0
2016_S_SB_D_250,ASV649,D,0,0
2016_S_SB_D_250,ASV653,D,0,0
2016_S_SB_D_250,ASV657,D,0,0
2016_S_SB_D_250,ASV660,D,0,0
2016_S_SB_D_250,ASV661,D,0,0
2016_S_SB_D_250,ASV662,D,0,0
2016_S_SB_D_250,ASV669,D,0,0
2016_S_SB_D_250,ASV670,D,0,0
2016_S_SB_D_250,ASV671,D,0,0
2016_S_SB_D_250,ASV672,D,0,0
2016_S_SB_D_250,ASV675,D,0,0
2016_S_SB_D_250,ASV679,D,0,0
2016_S_SB_D_250,ASV680,D,0,0
2016_S_SB_D_250,ASV681,D,0,0
2016_S_SB_D_250,ASV682,D,0,0
2016_S_SB_D_250,ASV683,D,0,0
2016_S_SB_D_250,ASV684,D,0,0
2016_S_SB_D_250,ASV685,D,0,0
2016_S_SB_D_250,ASV686,D,0,0
2016_S_SB_D_250,ASV688,D,0,0
2016_S_SB_D_250,ASV689,D,0,0
2016_S_SB_D_250,ASV690,D,0,0
2016_S_SB_D_250,ASV699,D,0,0
2016_S_SB_D_250,ASV705,D,0,0
2016_S_SB_D_250,ASV713,D,0,0
2016_S_SB_D_250,ASV717,D,0,0
2016_S_SB_D_250,ASV718,D,0,0
2016_S_SB_D_250,ASV724,D,0,0
2016_S_SB_D_250,ASV728,D,0,0
2016_S_SB_D_250,ASV735,D,0,0
2016_S_SB_D_250,ASV740,D,0,0
2016_S_SB_D_250,ASV742,D,0,0
2016_S_SB_D_250,ASV745,D,0,0
2016_S_SB_D_250,ASV747,D,0,0
2016_S_SB_D_250,ASV749,D,0,0
2016_S_SB_D_250,ASV751,D,0,0
2016_S_SB_D_250,ASV752,D,0,0
2016_S_SB_D_250,ASV753,D,0,0
2016_S_SB_D_250,ASV755,D,0,0
2016_S_SB_D_250,ASV757,D,0,0
2016_S_SB_D_250,ASV760,D,0,0
2016_S_SB_D_250,ASV763,D,0,0
2016_S_SB_D_250,ASV767,D,0,0
2016_S_SB_D_250,ASV768,D,0,0
2016_S_SB_D_250,ASV779,D,0,0
2016_S_SB_D_250,ASV781,D,0,0
2016_S_SB_D_250,ASV784,D,0,0
2016_S_SB_D_250,ASV786,D,0,0
2016_S_SB_D_250,ASV787,D,0,0
2016_S_SB_D_250,ASV788,D,0,0
2016_S_SB_D_250,ASV789,D,0,0
2016_S_SB_D_250,ASV791,D,0,0
2016_S_SB_D_250,ASV795,D,0,0
2016_S_SB_D_250,ASV799,D,0,0
2016_S_SB_D_250,ASV801,D,0,0
2016_S_SB_D_250,ASV802,D,0,0
2016_S_SB_D_250,ASV805,D,0,0
2016_S_SB_D_250,ASV810,D,0,0
2016_S_SB_D_250,ASV816,D,0,0
2016_S_SB_D_250,ASV817,D,0,0
2016_S_SB_D_250,ASV819,D,0,0
2016_S_SB_D_250,ASV820,D,0,0
2016_S_SB_D_250,ASV824,D,0,0
2016_S_SB_D_250,ASV825,D,0,0
2016_S_SB_D_250,ASV831,D,0,0
2016_S_SB_D_250,ASV838,D,0,0
2016_S_SB_D_250,ASV841,D,0,0
2016_S_SB_D_250,ASV843,D,0,0
2016_S_SB_D_250,ASV846,D,0,0
2016_S_SB_D_250,ASV850,D,0,0
2016_S_SB_D_250,ASV852,D,0,0
2016_S_SB_D_250,ASV853,D,0,0
2016_S_SB_D_250,ASV854,D,0,0
2016_S_SB_D_250,ASV858,D,0,0
2016_S_SB_D_250,ASV859,D,0,0
2016_S_SB_D_250,ASV860,D,0,0
2016_S_SB_D_250,ASV861,D,0,0
2016_S_SB_D_250,ASV865,D,0,0
2016_S_SB_D_250,ASV868,D,0,0
2016_S_SB_D_250,ASV869,D,0,0
2016_S_SB_D_250,ASV870,D,0,0
2016_S_SB_D_250,ASV871,D,0,0
2016_S_SB_D_250,ASV872,D,0,0
2016_S_SB_D_250,ASV875,D,0,0
2016_S_SB_D_250,ASV877,D,0,0
2016_S_SB_D_250,ASV886,D,0,0
2016_S_SB_D_250,ASV887,D,0,0
2016_S_SB_D_250,ASV893,D,0,0
2016_S_SB_D_250,ASV894,D,0,0
2016_S_SB_D_250,ASV895,D,0,0
2016_S_SB_D_250,ASV899,D,0,0
2016_S_SB_D_250,ASV902,D,0,0
2016_S_SB_D_250,ASV903,D,0,0
2016_S_SB_D_250,ASV907,D,0,0
2016_S_SB_D_250,ASV912,D,0,0
2016_S_SB_D_250,ASV914,D,0,0
2016_S_SB_D_250,ASV915,D,0,0
2016_S_SB_D_250,ASV917,D,0,0
2016_S_SB_D_250,ASV922,D,0,0
2016_S_SB_D_250,ASV928,D,0,0
2016_S_SB_D_250,ASV931,D,0,0
2016_S_SB_D_250,ASV933,D,0,0
2016_S_SB_D_250,ASV935,D,0,0
2016_S_SB_D_250,ASV936,D,0,0
2016_S_SB_D_250,ASV937,D,0,0
2016_S_SB_D_250,ASV938,D,0,0
2016_S_SB_D_250,ASV942,D,0,0
2016_S_SB_D_250,ASV945,D,0,0
2016_S_SB_D_250,ASV946,D,0,0
2016_S_SB_D_250,ASV948,D,0,0
2016_S_SB_D_250,ASV949,D,0,0
2016_S_SB_D_250,ASV953,D,0,0
2016_S_SB_D_250,ASV954,D,0,0
2016_S_SB_D_250,ASV955,D,0,0
2016_S_SB_D_250,ASV956,D,0,0
2016_S_SB_D_250,ASV958,D,0,0
2016_S_SB_D_250,ASV959,D,0,0
2016_S_SB_D_250,ASV960,D,0,0
2016_S_SB_D_250,ASV961,D,0,0
2016_S_SB_D_250,ASV965,D,0,0
2016_S_SB_D_250,ASV966,D,0,0
2016_S_SB_D_250,ASV967,D,0,0
